pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
4,35,2.77047,1440,21417,30956,2,0,11.3494,0.0026,3.8266,3.7585,0,0,0.0002,0.0019,2.2708
4,36,2.99101,1440,21417,31098,2,0,10.8334,0.0016,2.615,3.8789,0,0,0.0002,0.0022,2.7298
4,37,3.23189,1440,21417,31240,2,0,12.4113,0.0019,3.409,4.4695,0,0,0.0001,0.0027,2.4371
4,38,3.49483,1440,21417,31382,2,0,12.1078,0.003,4.4903,4.0744,0,0,0.0004,0.0041,1.9587
4,39,3.78168,1440,21417,31524,2,0,12.886,0.0028,4.4474,4.09,0,0,0.0002,0.0033,1.4273
4,40,4.0944,1440,21417,31666,2,0,16.0867,0.0033,7.9888,5.4628,0,0,0.0002,0.0029,1.1158
4,41,4.43507,1440,21417,31808,2,0,16.2272,0.0026,7.7128,5.8631,0,0,0.0002,0.0032,0.8104
4,42,4.80587,1440,21417,31950,2,0,14.0653,0.0031,7.3975,4.8921,0,0,0.0002,0.0038,0.519
4,43,5.20909,1440,21417,32092,2,0,10.1091,0.0017,3.6357,4.3644,0,0,0.0001,0.0016,0.3886
4,44,5.64713,1440,21417,32234,2,0,9.5211,0.003,4.1269,4.4836,0,0,0.0002,0.002,0.353
