pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
1,84,57.4875,5.042,0.0024,0,0.0001,0.0245,0.001,4.4672,0.0001,0.0556
1,85,58.3045,4.5465,0.0046,0,0,0.0417,0.0015,4.0495,0.0001,0.0504
1,86,58.9677,5.2198,0.0039,0,0.0001,0.0373,0.0015,4.7233,0.0001,0.0568
1,87,59.4707,4.8513,0.0028,0,0,0.0265,0.0014,4.2914,0,0.0538
1,88,59.8088,4.4748,0.0029,0,0.0001,0.0292,0.0014,4.0136,0,0.0502
1,89,59.9787,4.4784,0.0027,0,0,0.026,0.0015,4.0168,0.0001,0.0491
1,90,59.9787,8.5863,0.0125,0,0.0002,0.0853,0.0041,7.6358,0.0003,0.1102
1,91,59.8088,8.473,0.0063,0,0.0001,0.053,0.0032,7.6556,0.0001,0.0852
1,92,59.4707,8.5552,0.0057,0,0.0001,0.0532,0.0036,7.6449,0.0003,0.0916
1,93,58.9677,8.4866,0.0075,0,0.0001,0.0553,0.0032,7.6519,0.0001,0.0876
1,94,58.3045,8.4883,0.0051,0,0.0001,0.0501,0.0035,7.6345,0.0001,0.0804
1,95,57.4875,8.2077,0.0049,0,0,0.0474,0.0027,7.4896,0.0002,0.0815
1,96,56.5243,6.4578,0.0043,0,0.0001,0.0432,0.0029,5.6211,0.0001,0.0813
1,97,55.424,8.4926,0.0045,0,0.0001,0.0458,0.0024,7.7287,0.0003,0.0881
1,98,54.1964,8.5078,0.0042,0,0,0.0434,0.0021,7.6832,0.0001,0.0778
1,99,52.8524,8.3923,0.0042,0,0.0001,0.0453,0.004,7.6403,0.0002,0.0791
1,100,51.4039,8.4649,0.0043,0,0.0001,0.0439,0.002,7.6345,0.0001,0.0807
1,101,49.8629,5.9674,0.0044,0,0.0001,0.0463,0.0022,5.3906,0.0001,0.0705
1,102,48.2421,8.6127,0.0046,0,0,0.049,0.0017,7.7351,0.0001,0.0856
1,103,46.5543,8.6316,0.0042,0,0.0001,0.0611,0.0025,7.8331,0.0001,0.0839
1,104,44.8122,8.6879,0.0054,0,0.0001,0.059,0.002,7.7838,0.0001,0.0862
1,105,43.0287,8.648,0.0047,0,0,0.0605,0.0027,7.8373,0.0002,0.0842
