pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
4,1,0.600852,1440,21417,26128,2,0,7.5224,0.0017,2.6242,3.9619,0,0,0,0.0014,0.002
4,2,0.603413,1440,21417,26270,2,0,7.6552,0.0015,2.5968,3.9964,0,0,0.0001,0.0015,0.0021
4,3,0.607702,1440,21417,26412,2,0,8.9371,0.0015,2.6153,4.9073,0,0,0.0004,0.0027,0.004
4,4,0.613751,1440,21417,26554,2,0,7.5393,0.0038,2.6741,3.9039,0,0,0.0002,0.001,0.0018
4,5,0.621603,1440,21417,26696,2,0,7.5092,0.0015,2.5818,3.9423,0,0,0.0002,0.0014,0.0021
4,6,0.631317,1440,21417,26838,2,0,7.1901,0.0023,2.5768,3.9235,0,0,0,0.0008,0.0012
4,7,0.642964,1440,21417,26980,2,0,7.527,0.0015,2.5842,3.9796,0,0,0.0001,0.0013,0.0013
4,8,0.65663,1440,21417,27122,2,0,7.1566,0.0014,2.5786,3.9158,0,0,0.0001,0.0008,0.0017
4,9,0.672417,1440,21417,27264,2,0,7.5483,0.0015,2.5804,3.9634,0,0,0.0002,0.0013,0.0025
4,10,0.690442,1440,21417,27406,2,0,7.5448,0.002,2.5948,3.9349,0,0,0.0001,0.0012,0.0018
4,11,0.710842,1440,21417,27548,2,0,7.5948,0.0019,2.6019,4.0079,0,0,0.0001,0.0015,0.0022
4,12,0.73377,1440,21417,27690,2,0,7.5533,0.003,2.5831,3.9405,0,0,0.0001,0.0014,0.0018
4,13,0.759401,1440,21417,27832,2,0,8.2526,0.0016,2.6129,4.6445,0,0,0.0004,0.0023,0.0027
4,14,0.787932,1440,21417,27974,2,0,7.6798,0.002,2.5713,3.9997,0,0,0.0001,0.0025,0.0039
4,15,0.819581,1440,21417,28116,2,0,7.981,0.0021,2.4631,4.1367,0,0,0.0002,0.0034,0.0042
4,16,0.854596,1440,21417,28258,2,0,7.4696,0.004,2.6069,3.9966,0,0,0.0001,0.0018,0.0024
4,17,0.893248,1440,21417,28400,2,0,8.0267,0.0019,2.5198,3.9409,0,0,0.0001,0.0011,0.0019
4,18,0.935842,1440,21417,28542,2,0,8.779,0.0023,2.4723,5.2738,0,0,0.0004,0.0021,0.0038
4,19,0.982714,1440,21417,28684,2,0,7.6752,0.0028,2.5174,4.0839,0,0,0.0001,0.0016,0.0015
4,20,1.03424,1440,21417,28826,2,0,7.6397,0.0021,2.4611,4.1995,0,0,0.0002,0.0022,0.0035
4,21,1.09082,1440,21417,28968,2,0,7.4395,0.0018,2.4967,4.1007,0,0,0.0002,0.0018,0.0025
4,22,1.15292,1440,21417,29110,2,0,11.5811,0.0044,2.5289,4.1001,0,0,0.0001,0.0016,3.5138
4,23,1.22103,1440,21417,29252,2,0,11.6611,0.0018,2.5507,4.1163,0,0,0.0002,0.001,3.5147
4,24,1.2957,1440,21417,29394,2,0,17.2775,0.0022,2.7541,4.3899,0,0,0.0002,0.0033,4.3028
4,25,1.37755,1440,21417,29536,2,0,12.8096,0.0031,2.5431,4.0013,0,0,0.0002,0.0023,3.478
4,26,1.46721,1440,21417,29678,2,0,11.6224,0.003,2.5813,4.1249,0,0,0.0001,0.0019,3.4995
